iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.102394,2.000e-04,,,,10.9
2,train,0.087472,2.000e-04,,,,11.5
3,train,0.077274,2.000e-04,,,,12.0
4,train,0.068429,2.000e-04,,,,12.6
5,train,0.065650,2.000e-04,,,,13.2
6,train,0.073379,2.000e-04,,,,13.7
7,train,0.045756,1.999e-04,,,,14.3
8,train,0.058491,1.999e-04,,,,14.9
9,train,0.048107,1.999e-04,,,,15.5
10,train,0.048340,1.998e-04,,,,16.0
11,train,0.046665,1.998e-04,,,,16.6
12,train,0.042855,1.998e-04,,,,17.2
13,train,0.033668,1.997e-04,,,,17.8
14,train,0.043371,1.997e-04,,,,18.4
15,train,0.031035,1.996e-04,,,,19.0
16,train,0.033379,1.996e-04,,,,19.6
17,train,0.034177,1.995e-04,,,,20.2
18,train,0.032985,1.994e-04,,,,20.7
19,train,0.031036,1.994e-04,,,,21.2
20,train,0.023086,1.993e-04,,,,21.8
21,train,0.024953,1.992e-04,,,,22.4
22,train,0.027202,1.991e-04,,,,23.0
23,train,0.027536,1.990e-04,,,,23.6
24,train,0.018717,1.990e-04,,,,24.1
25,train,0.023456,1.989e-04,,,,24.7
26,train,0.026790,1.988e-04,,,,25.3
27,train,0.041044,1.987e-04,,,,25.9
28,train,0.027483,1.986e-04,,,,26.5
29,train,0.020941,1.985e-04,,,,27.1
30,train,0.024077,1.983e-04,,,,27.7
31,train,0.026493,1.982e-04,,,,28.3
32,train,0.022984,1.981e-04,,,,28.9
33,train,0.022629,1.980e-04,,,,29.4
34,train,0.024745,1.979e-04,,,,30.1
35,train,0.019134,1.977e-04,,,,30.6
36,train,0.027260,1.976e-04,,,,31.2
37,train,0.020293,1.975e-04,,,,31.8
38,train,0.023098,1.973e-04,,,,32.4
39,train,0.025239,1.972e-04,,,,33.0
40,train,0.028104,1.970e-04,,,,33.6
41,train,0.024312,1.969e-04,,,,34.2
42,train,0.027961,1.967e-04,,,,34.7
43,train,0.027179,1.965e-04,,,,35.4
44,train,0.029705,1.964e-04,,,,36.0
45,train,0.014209,1.962e-04,,,,36.6
46,train,0.020629,1.960e-04,,,,37.2
47,train,0.021012,1.959e-04,,,,37.7
48,train,0.029992,1.957e-04,,,,38.3
49,train,0.025980,1.955e-04,,,,38.9
50,train,0.022434,1.953e-04,,,,39.5
51,train,0.020986,1.951e-04,,,,40.1
52,train,0.024567,1.949e-04,,,,40.7
53,train,0.012582,1.947e-04,,,,41.3
54,train,0.021294,1.945e-04,,,,41.8
55,train,0.017895,1.943e-04,,,,42.4
56,train,0.021442,1.941e-04,,,,43.0
57,train,0.019995,1.939e-04,,,,43.6
58,train,0.025919,1.937e-04,,,,44.2
59,train,0.018522,1.934e-04,,,,44.8
60,train,0.017189,1.932e-04,,,,45.4
61,train,0.019118,1.930e-04,,,,46.0
62,train,0.014862,1.927e-04,,,,46.6
63,train,0.019337,1.925e-04,,,,47.2
64,train,0.017363,1.923e-04,,,,47.8
65,train,0.016426,1.920e-04,,,,48.4
66,train,0.019311,1.918e-04,,,,49.0
67,train,0.027460,1.915e-04,,,,49.6
68,train,0.015594,1.913e-04,,,,50.2
69,train,0.018472,1.910e-04,,,,50.9
70,train,0.024254,1.907e-04,,,,51.4
71,train,0.030584,1.905e-04,,,,52.1
72,train,0.020553,1.902e-04,,,,52.7
73,train,0.021359,1.899e-04,,,,53.3
74,train,0.024077,1.897e-04,,,,53.8
75,train,0.010841,1.894e-04,,,,54.5
76,train,0.018483,1.891e-04,,,,55.1
77,train,0.020411,1.888e-04,,,,55.8
78,train,0.021708,1.885e-04,,,,56.4
79,train,0.018511,1.882e-04,,,,56.9
80,train,0.017304,1.879e-04,,,,57.5
81,train,0.015471,1.876e-04,,,,58.2
82,train,0.021984,1.873e-04,,,,58.8
83,train,0.018308,1.870e-04,,,,59.4
84,train,0.017109,1.867e-04,,,,60.0
85,train,0.013322,1.864e-04,,,,60.6
86,train,0.018628,1.861e-04,,,,61.1
87,train,0.018237,1.858e-04,,,,61.7
88,train,0.019796,1.854e-04,,,,62.3
89,train,0.022854,1.851e-04,,,,63.0
90,train,0.014468,1.848e-04,,,,63.5
91,train,0.012605,1.844e-04,,,,64.1
92,train,0.015193,1.841e-04,,,,64.6
93,train,0.012720,1.838e-04,,,,65.2
94,train,0.016319,1.834e-04,,,,65.8
95,train,0.017299,1.831e-04,,,,66.5
96,train,0.016355,1.827e-04,,,,67.2
97,train,0.025838,1.824e-04,,,,68.0
98,train,0.010096,1.820e-04,,,,68.7
99,train,0.013125,1.816e-04,,,,69.4
100,train,0.014578,1.813e-04,,,,70.2
101,train,0.022149,1.809e-04,,,,70.8
102,train,0.016678,1.805e-04,,,,71.4
103,train,0.019337,1.802e-04,,,,71.9
104,train,0.025655,1.798e-04,,,,72.6
105,train,0.018101,1.794e-04,,,,73.1
106,train,0.017808,1.790e-04,,,,73.7
107,train,0.020404,1.786e-04,,,,74.2
108,train,0.020243,1.782e-04,,,,74.8
109,train,0.021619,1.778e-04,,,,75.3
110,train,0.017348,1.775e-04,,,,75.8
111,train,0.018575,1.771e-04,,,,76.3
112,train,0.014910,1.766e-04,,,,76.9
113,train,0.014211,1.762e-04,,,,77.5
114,train,0.016951,1.758e-04,,,,78.1
115,train,0.012305,1.754e-04,,,,78.7
116,train,0.010446,1.750e-04,,,,79.3
117,train,0.020194,1.746e-04,,,,80.0
118,train,0.022127,1.742e-04,,,,80.5
119,train,0.020309,1.738e-04,,,,81.1
120,train,0.008452,1.733e-04,,,,81.6
121,train,0.016175,1.729e-04,,,,82.0
122,train,0.021944,1.725e-04,,,,82.5
123,train,0.014579,1.720e-04,,,,83.0
124,train,0.017183,1.716e-04,,,,83.5
125,train,0.011539,1.712e-04,,,,84.0
126,train,0.021948,1.707e-04,,,,84.6
127,train,0.031381,1.703e-04,,,,85.1
128,train,0.013344,1.698e-04,,,,85.6
129,train,0.017385,1.694e-04,,,,86.1
130,train,0.014161,1.689e-04,,,,86.6
131,train,0.021682,1.685e-04,,,,87.1
132,train,0.014457,1.680e-04,,,,87.7
133,train,0.013943,1.675e-04,,,,88.2
134,train,0.012654,1.671e-04,,,,88.7
135,train,0.014039,1.666e-04,,,,89.3
136,train,0.024786,1.661e-04,,,,89.8
137,train,0.016271,1.657e-04,,,,90.4
138,train,0.019662,1.652e-04,,,,90.9
139,train,0.023779,1.647e-04,,,,91.4
140,train,0.018616,1.642e-04,,,,92.0
141,train,0.021486,1.637e-04,,,,92.6
142,train,0.019771,1.633e-04,,,,93.1
143,train,0.016660,1.628e-04,,,,93.7
144,train,0.017021,1.623e-04,,,,94.2
145,train,0.009986,1.618e-04,,,,94.8
146,train,0.013466,1.613e-04,,,,95.3
147,train,0.018799,1.608e-04,,,,95.8
148,train,0.025671,1.603e-04,,,,96.3
149,train,0.024993,1.598e-04,,,,96.8
150,train,0.008950,1.593e-04,,,,97.3
151,train,0.008789,1.588e-04,,,,97.9
152,train,0.022381,1.583e-04,,,,98.4
153,train,0.015943,1.578e-04,,,,99.0
154,train,0.018433,1.572e-04,,,,99.5
155,train,0.011849,1.567e-04,,,,100.0
156,train,0.021346,1.562e-04,,,,100.6
157,train,0.011182,1.557e-04,,,,101.2
158,train,0.010636,1.552e-04,,,,101.8
159,train,0.013687,1.546e-04,,,,102.3
160,train,0.014245,1.541e-04,,,,102.9
161,train,0.013241,1.536e-04,,,,103.4
162,train,0.007393,1.531e-04,,,,103.9
163,train,0.010931,1.525e-04,,,,104.5
164,train,0.015265,1.520e-04,,,,105.0
165,train,0.014024,1.514e-04,,,,105.7
166,train,0.012238,1.509e-04,,,,106.3
167,train,0.015753,1.504e-04,,,,106.8
168,train,0.019409,1.498e-04,,,,107.4
169,train,0.015471,1.493e-04,,,,108.0
170,train,0.019066,1.487e-04,,,,108.5
171,train,0.015753,1.482e-04,,,,109.1
172,train,0.013425,1.476e-04,,,,109.7
173,train,0.021807,1.471e-04,,,,110.1
174,train,0.017852,1.465e-04,,,,110.6
175,train,0.024399,1.460e-04,,,,111.1
176,train,0.019618,1.454e-04,,,,111.7
177,train,0.012068,1.448e-04,,,,112.3
178,train,0.016499,1.443e-04,,,,112.8
179,train,0.013145,1.437e-04,,,,113.2
180,train,0.023144,1.431e-04,,,,113.8
181,train,0.022659,1.426e-04,,,,114.3
182,train,0.012804,1.420e-04,,,,114.8
183,train,0.018909,1.414e-04,,,,115.3
184,train,0.019199,1.409e-04,,,,115.9
185,train,0.013458,1.403e-04,,,,116.4
186,train,0.020401,1.397e-04,,,,116.9
187,train,0.007030,1.391e-04,,,,117.4
188,train,0.018549,1.386e-04,,,,118.0
189,train,0.016382,1.380e-04,,,,118.5
190,train,0.010810,1.374e-04,,,,119.1
191,train,0.010539,1.368e-04,,,,119.7
192,train,0.021730,1.362e-04,,,,120.2
193,train,0.014476,1.356e-04,,,,120.7
194,train,0.012876,1.351e-04,,,,121.3
195,train,0.019930,1.345e-04,,,,121.9
196,train,0.014812,1.339e-04,,,,122.4
197,train,0.027800,1.333e-04,,,,123.0
198,train,0.015121,1.327e-04,,,,123.5
199,train,0.015576,1.321e-04,,,,124.0
200,train,0.013452,1.315e-04,,,,124.5
201,train,0.019709,1.309e-04,,,,125.1
202,train,0.019675,1.303e-04,,,,125.6
203,train,0.012542,1.297e-04,,,,126.1
204,train,0.017652,1.291e-04,,,,126.6
205,train,0.014507,1.285e-04,,,,127.1
206,train,0.013424,1.279e-04,,,,127.7
207,train,0.016085,1.273e-04,,,,128.2
208,train,0.013725,1.267e-04,,,,128.8
209,train,0.024939,1.261e-04,,,,129.3
210,train,0.014989,1.255e-04,,,,129.8
211,train,0.014673,1.249e-04,,,,130.3
212,train,0.007642,1.243e-04,,,,130.9
213,train,0.013948,1.236e-04,,,,131.4
214,train,0.017127,1.230e-04,,,,131.9
215,train,0.005402,1.224e-04,,,,132.4
216,train,0.012093,1.218e-04,,,,133.0
217,train,0.014324,1.212e-04,,,,133.6
218,train,0.023326,1.206e-04,,,,134.1
219,train,0.020773,1.200e-04,,,,134.7
220,train,0.015288,1.194e-04,,,,135.2
221,train,0.018101,1.187e-04,,,,135.8
222,train,0.019157,1.181e-04,,,,136.3
223,train,0.012640,1.175e-04,,,,136.9
224,train,0.035405,1.169e-04,,,,137.5
225,train,0.008170,1.163e-04,,,,138.0
226,train,0.015381,1.156e-04,,,,138.5
227,train,0.038043,1.150e-04,,,,139.0
228,train,0.015241,1.144e-04,,,,139.5
229,train,0.012614,1.138e-04,,,,140.0
230,train,0.010797,1.132e-04,,,,140.5
231,train,0.016982,1.125e-04,,,,141.1
232,train,0.015203,1.119e-04,,,,141.6
233,train,0.018497,1.113e-04,,,,142.1
234,train,0.008379,1.107e-04,,,,142.7
235,train,0.014076,1.100e-04,,,,143.2
236,train,0.023792,1.094e-04,,,,143.7
237,train,0.015942,1.088e-04,,,,144.3
238,train,0.019527,1.082e-04,,,,144.8
239,train,0.015944,1.075e-04,,,,145.3
240,train,0.025134,1.069e-04,,,,145.9
241,train,0.014738,1.063e-04,,,,146.4
242,train,0.010663,1.057e-04,,,,146.9
243,train,0.010914,1.050e-04,,,,147.5
244,train,0.019027,1.044e-04,,,,148.0
245,train,0.011533,1.038e-04,,,,148.6
246,train,0.012451,1.031e-04,,,,149.1
247,train,0.016200,1.025e-04,,,,149.6
248,train,0.021686,1.019e-04,,,,150.1
249,train,0.030591,1.013e-04,,,,150.6
250,train,0.013328,1.006e-04,,,,151.1
250,val,,,31.2798,30.8751,0.9240,158.7
251,train,0.011869,1.000e-04,,,,159.2
252,train,0.013687,9.937e-05,,,,159.7
253,train,0.010743,9.874e-05,,,,160.3
254,train,0.009978,9.812e-05,,,,160.7
255,train,0.018699,9.749e-05,,,,161.2
256,train,0.010947,9.686e-05,,,,161.7
257,train,0.009343,9.623e-05,,,,162.2
258,train,0.013947,9.560e-05,,,,162.8
259,train,0.011531,9.498e-05,,,,163.3
260,train,0.024320,9.435e-05,,,,163.8
261,train,0.013111,9.372e-05,,,,164.4
262,train,0.019899,9.309e-05,,,,164.8
263,train,0.013203,9.247e-05,,,,165.3
264,train,0.014159,9.184e-05,,,,165.8
265,train,0.010013,9.121e-05,,,,166.3
266,train,0.017915,9.059e-05,,,,166.8
267,train,0.019074,8.996e-05,,,,167.3
268,train,0.014791,8.934e-05,,,,167.8
269,train,0.013948,8.871e-05,,,,168.4
270,train,0.009766,8.809e-05,,,,168.9
271,train,0.016675,8.747e-05,,,,169.4
272,train,0.013747,8.684e-05,,,,170.0
