iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.122787,2.000e-04,,,,3.3
2,train,0.098787,2.000e-04,,,,3.3
3,train,0.065465,2.000e-04,,,,3.4
4,train,0.054462,2.000e-04,,,,3.4
5,train,0.052041,2.000e-04,,,,3.5
6,train,0.039770,2.000e-04,,,,3.5
7,train,0.039645,2.000e-04,,,,3.6
8,train,0.038725,2.000e-04,,,,3.6
9,train,0.039594,2.000e-04,,,,3.7
10,train,0.034100,2.000e-04,,,,3.7
11,train,0.030360,2.000e-04,,,,3.8
12,train,0.033608,2.000e-04,,,,3.8
13,train,0.030332,2.000e-04,,,,3.9
14,train,0.025951,2.000e-04,,,,3.9
15,train,0.027417,2.000e-04,,,,4.0
16,train,0.026656,2.000e-04,,,,4.1
17,train,0.022610,2.000e-04,,,,4.1
18,train,0.026393,2.000e-04,,,,4.2
19,train,0.024648,2.000e-04,,,,4.2
20,train,0.022550,2.000e-04,,,,4.3
21,train,0.019091,2.000e-04,,,,4.3
22,train,0.021431,2.000e-04,,,,4.4
23,train,0.026950,2.000e-04,,,,4.4
24,train,0.021469,2.000e-04,,,,4.5
25,train,0.020483,2.000e-04,,,,4.5
26,train,0.019667,2.000e-04,,,,4.6
27,train,0.025506,2.000e-04,,,,4.6
28,train,0.016187,2.000e-04,,,,4.7
29,train,0.021016,2.000e-04,,,,4.7
30,train,0.024689,2.000e-04,,,,4.8
31,train,0.021724,2.000e-04,,,,4.8
32,train,0.017679,2.000e-04,,,,4.9
33,train,0.018514,2.000e-04,,,,4.9
34,train,0.018421,2.000e-04,,,,5.0
35,train,0.017438,2.000e-04,,,,5.0
36,train,0.016393,2.000e-04,,,,5.1
37,train,0.017544,2.000e-04,,,,5.1
38,train,0.013324,2.000e-04,,,,5.2
39,train,0.018946,2.000e-04,,,,5.2
40,train,0.020210,2.000e-04,,,,5.3
41,train,0.016153,2.000e-04,,,,5.3
42,train,0.016122,2.000e-04,,,,5.4
43,train,0.015692,2.000e-04,,,,5.4
44,train,0.014243,2.000e-04,,,,5.5
45,train,0.015303,2.000e-04,,,,5.6
46,train,0.016285,2.000e-04,,,,5.6
47,train,0.017295,2.000e-04,,,,5.7
48,train,0.018618,2.000e-04,,,,5.7
49,train,0.014292,2.000e-04,,,,5.8
50,train,0.017794,2.000e-04,,,,5.8
51,train,0.016405,2.000e-04,,,,5.9
52,train,0.017515,2.000e-04,,,,5.9
53,train,0.016228,2.000e-04,,,,6.0
54,train,0.018386,2.000e-04,,,,6.0
55,train,0.014933,2.000e-04,,,,6.1
56,train,0.016043,2.000e-04,,,,6.1
57,train,0.019589,2.000e-04,,,,6.2
58,train,0.011163,2.000e-04,,,,6.2
59,train,0.015446,2.000e-04,,,,6.3
60,train,0.014409,2.000e-04,,,,6.3
61,train,0.014917,2.000e-04,,,,6.4
62,train,0.014863,2.000e-04,,,,6.4
63,train,0.017049,2.000e-04,,,,6.5
64,train,0.018901,2.000e-04,,,,6.6
65,train,0.015653,2.000e-04,,,,6.6
66,train,0.013558,2.000e-04,,,,6.7
67,train,0.019731,2.000e-04,,,,6.7
68,train,0.016769,2.000e-04,,,,6.8
69,train,0.017041,2.000e-04,,,,6.8
70,train,0.017749,2.000e-04,,,,6.9
71,train,0.015864,2.000e-04,,,,6.9
72,train,0.017791,2.000e-04,,,,7.0
73,train,0.013848,2.000e-04,,,,7.0
74,train,0.017703,2.000e-04,,,,7.1
75,train,0.013822,2.000e-04,,,,7.1
76,train,0.018708,2.000e-04,,,,7.2
77,train,0.013214,2.000e-04,,,,7.2
78,train,0.015789,2.000e-04,,,,7.3
79,train,0.020558,2.000e-04,,,,7.3
80,train,0.013970,2.000e-04,,,,7.4
81,train,0.017110,2.000e-04,,,,7.4
82,train,0.015163,2.000e-04,,,,7.5
83,train,0.015682,2.000e-04,,,,7.6
84,train,0.015214,2.000e-04,,,,7.6
85,train,0.013075,2.000e-04,,,,7.7
86,train,0.015029,2.000e-04,,,,7.7
87,train,0.016836,2.000e-04,,,,7.8
88,train,0.014479,2.000e-04,,,,7.8
89,train,0.016130,2.000e-04,,,,7.9
90,train,0.019138,2.000e-04,,,,7.9
91,train,0.014611,2.000e-04,,,,8.0
92,train,0.016219,2.000e-04,,,,8.0
93,train,0.014414,2.000e-04,,,,8.1
94,train,0.017061,2.000e-04,,,,8.1
95,train,0.014667,2.000e-04,,,,8.2
96,train,0.014400,2.000e-04,,,,8.2
97,train,0.015223,2.000e-04,,,,8.3
98,train,0.013993,2.000e-04,,,,8.4
99,train,0.012327,2.000e-04,,,,8.4
100,train,0.015496,2.000e-04,,,,8.5
101,train,0.023676,2.000e-04,,,,8.5
102,train,0.016593,2.000e-04,,,,8.6
103,train,0.016980,2.000e-04,,,,8.6
104,train,0.012995,2.000e-04,,,,8.7
105,train,0.016363,2.000e-04,,,,8.7
106,train,0.013084,2.000e-04,,,,8.8
107,train,0.014430,2.000e-04,,,,8.8
108,train,0.013832,2.000e-04,,,,8.9
109,train,0.017441,2.000e-04,,,,8.9
110,train,0.014812,2.000e-04,,,,9.0
111,train,0.016933,2.000e-04,,,,9.0
112,train,0.020146,2.000e-04,,,,9.1
113,train,0.016316,2.000e-04,,,,9.1
114,train,0.016300,2.000e-04,,,,9.2
115,train,0.013573,2.000e-04,,,,9.2
116,train,0.013843,2.000e-04,,,,9.3
117,train,0.014272,2.000e-04,,,,9.4
118,train,0.019023,2.000e-04,,,,9.4
119,train,0.016781,2.000e-04,,,,9.5
120,train,0.015140,2.000e-04,,,,9.5
121,train,0.014420,2.000e-04,,,,9.6
122,train,0.014821,2.000e-04,,,,9.6
123,train,0.014461,2.000e-04,,,,9.7
124,train,0.012664,2.000e-04,,,,9.7
125,train,0.014598,2.000e-04,,,,9.8
126,train,0.011621,2.000e-04,,,,9.8
127,train,0.014309,2.000e-04,,,,9.9
128,train,0.011396,2.000e-04,,,,9.9
129,train,0.015060,2.000e-04,,,,10.0
130,train,0.013651,2.000e-04,,,,10.0
131,train,0.014303,2.000e-04,,,,10.1
132,train,0.013383,2.000e-04,,,,10.1
133,train,0.018854,2.000e-04,,,,10.2
134,train,0.019171,2.000e-04,,,,10.2
135,train,0.018162,2.000e-04,,,,10.3
136,train,0.014524,2.000e-04,,,,10.3
137,train,0.012510,2.000e-04,,,,10.4
138,train,0.014969,2.000e-04,,,,10.5
139,train,0.014420,2.000e-04,,,,10.5
140,train,0.016200,2.000e-04,,,,10.6
141,train,0.013284,2.000e-04,,,,10.6
142,train,0.014104,2.000e-04,,,,10.7
143,train,0.015458,2.000e-04,,,,10.7
144,train,0.016438,2.000e-04,,,,10.8
145,train,0.015302,2.000e-04,,,,10.8
146,train,0.015405,2.000e-04,,,,10.9
147,train,0.016766,2.000e-04,,,,10.9
148,train,0.015982,2.000e-04,,,,11.0
149,train,0.016363,2.000e-04,,,,11.0
150,train,0.020798,2.000e-04,,,,11.1
151,train,0.015861,2.000e-04,,,,11.2
152,train,0.019893,2.000e-04,,,,11.2
153,train,0.016948,2.000e-04,,,,11.3
154,train,0.015804,2.000e-04,,,,11.3
155,train,0.019887,2.000e-04,,,,11.4
156,train,0.015326,2.000e-04,,,,11.4
157,train,0.014935,2.000e-04,,,,11.5
158,train,0.012839,2.000e-04,,,,11.5
159,train,0.021074,2.000e-04,,,,11.6
160,train,0.017878,2.000e-04,,,,11.6
161,train,0.018093,2.000e-04,,,,11.7
162,train,0.013035,2.000e-04,,,,11.7
163,train,0.016906,2.000e-04,,,,11.8
164,train,0.016058,2.000e-04,,,,11.9
165,train,0.016513,2.000e-04,,,,11.9
166,train,0.017111,2.000e-04,,,,12.0
167,train,0.012504,2.000e-04,,,,12.0
168,train,0.013113,2.000e-04,,,,12.1
169,train,0.012983,2.000e-04,,,,12.1
170,train,0.010951,2.000e-04,,,,12.2
171,train,0.015079,2.000e-04,,,,12.2
172,train,0.014630,2.000e-04,,,,12.3
173,train,0.020226,2.000e-04,,,,12.3
174,train,0.016636,2.000e-04,,,,12.4
175,train,0.013304,2.000e-04,,,,12.4
176,train,0.019787,2.000e-04,,,,12.5
177,train,0.015373,2.000e-04,,,,12.6
178,train,0.017472,2.000e-04,,,,12.6
179,train,0.015153,2.000e-04,,,,12.7
180,train,0.012823,2.000e-04,,,,12.7
181,train,0.011995,2.000e-04,,,,12.8
182,train,0.014787,2.000e-04,,,,12.8
183,train,0.019054,2.000e-04,,,,12.9
184,train,0.015891,2.000e-04,,,,12.9
185,train,0.018737,2.000e-04,,,,13.0
