iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.119046,2.000e-04,,,,2.8
2,train,0.099183,2.000e-04,,,,2.8
3,train,0.065555,2.000e-04,,,,2.9
4,train,0.058513,2.000e-04,,,,2.9
5,train,0.045801,2.000e-04,,,,2.9
6,train,0.037076,2.000e-04,,,,2.9
7,train,0.038290,2.000e-04,,,,3.0
8,train,0.036177,2.000e-04,,,,3.0
9,train,0.036181,2.000e-04,,,,3.0
10,train,0.030867,2.000e-04,,,,3.1
11,train,0.029941,2.000e-04,,,,3.1
12,train,0.033433,2.000e-04,,,,3.1
13,train,0.029214,2.000e-04,,,,3.2
14,train,0.024391,2.000e-04,,,,3.2
15,train,0.025737,2.000e-04,,,,3.2
16,train,0.024775,2.000e-04,,,,3.3
17,train,0.021526,2.000e-04,,,,3.3
18,train,0.025324,2.000e-04,,,,3.3
19,train,0.023060,2.000e-04,,,,3.4
20,train,0.021718,2.000e-04,,,,3.4
21,train,0.017861,2.000e-04,,,,3.4
22,train,0.021282,2.000e-04,,,,3.4
23,train,0.026351,2.000e-04,,,,3.5
24,train,0.020366,2.000e-04,,,,3.5
25,train,0.019959,2.000e-04,,,,3.5
26,train,0.019401,2.000e-04,,,,3.6
27,train,0.024976,2.000e-04,,,,3.6
28,train,0.016348,2.000e-04,,,,3.6
29,train,0.021164,2.000e-04,,,,3.7
30,train,0.024542,2.000e-04,,,,3.7
31,train,0.021729,2.000e-04,,,,3.7
32,train,0.017569,2.000e-04,,,,3.8
33,train,0.018206,2.000e-04,,,,3.8
34,train,0.018542,2.000e-04,,,,3.8
35,train,0.017623,2.000e-04,,,,3.9
36,train,0.016489,2.000e-04,,,,3.9
37,train,0.017594,2.000e-04,,,,3.9
38,train,0.013442,2.000e-04,,,,4.0
39,train,0.019097,2.000e-04,,,,4.0
40,train,0.019986,2.000e-04,,,,4.0
41,train,0.016567,2.000e-04,,,,4.0
42,train,0.016046,2.000e-04,,,,4.1
43,train,0.015366,2.000e-04,,,,4.1
44,train,0.014092,2.000e-04,,,,4.1
45,train,0.015422,2.000e-04,,,,4.2
46,train,0.016163,2.000e-04,,,,4.2
47,train,0.017170,2.000e-04,,,,4.2
48,train,0.018653,2.000e-04,,,,4.3
49,train,0.014351,2.000e-04,,,,4.3
50,train,0.017704,2.000e-04,,,,4.3
51,train,0.016638,2.000e-04,,,,4.4
52,train,0.017472,2.000e-04,,,,4.4
53,train,0.016480,2.000e-04,,,,4.4
54,train,0.017868,2.000e-04,,,,4.5
55,train,0.014865,2.000e-04,,,,4.5
56,train,0.015841,2.000e-04,,,,4.5
57,train,0.018959,2.000e-04,,,,4.6
58,train,0.010835,2.000e-04,,,,4.6
59,train,0.015174,2.000e-04,,,,4.6
60,train,0.013966,2.000e-04,,,,4.7
61,train,0.014865,2.000e-04,,,,4.7
62,train,0.015061,2.000e-04,,,,4.7
63,train,0.016828,2.000e-04,,,,4.7
64,train,0.019114,2.000e-04,,,,4.8
65,train,0.015664,2.000e-04,,,,4.8
66,train,0.014081,2.000e-04,,,,4.8
67,train,0.020287,2.000e-04,,,,4.9
68,train,0.017026,2.000e-04,,,,4.9
69,train,0.017174,2.000e-04,,,,4.9
70,train,0.017992,2.000e-04,,,,5.0
71,train,0.016044,2.000e-04,,,,5.0
72,train,0.017296,2.000e-04,,,,5.0
73,train,0.013651,2.000e-04,,,,5.0
74,train,0.018021,2.000e-04,,,,5.1
75,train,0.013731,2.000e-04,,,,5.1
76,train,0.019610,2.000e-04,,,,5.2
77,train,0.013203,2.000e-04,,,,5.2
78,train,0.016047,2.000e-04,,,,5.2
79,train,0.020351,2.000e-04,,,,5.2
80,train,0.013829,2.000e-04,,,,5.3
81,train,0.017400,2.000e-04,,,,5.3
82,train,0.015137,2.000e-04,,,,5.3
83,train,0.015899,2.000e-04,,,,5.4
84,train,0.015279,2.000e-04,,,,5.4
85,train,0.013186,2.000e-04,,,,5.4
86,train,0.015167,2.000e-04,,,,5.5
87,train,0.017569,2.000e-04,,,,5.5
88,train,0.014587,2.000e-04,,,,5.5
89,train,0.017219,2.000e-04,,,,5.6
90,train,0.019583,2.000e-04,,,,5.6
91,train,0.014836,2.000e-04,,,,5.6
92,train,0.016510,2.000e-04,,,,5.7
93,train,0.014177,2.000e-04,,,,5.7
94,train,0.017566,2.000e-04,,,,5.7
95,train,0.014067,2.000e-04,,,,5.7
96,train,0.014393,2.000e-04,,,,5.8
97,train,0.015145,2.000e-04,,,,5.8
98,train,0.013736,2.000e-04,,,,5.8
