iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.118901,2.000e-04,,,,1.4
2,train,0.099836,2.000e-04,,,,1.5
3,train,0.066242,2.000e-04,,,,1.5
4,train,0.058350,2.000e-04,,,,1.6
5,train,0.045506,2.000e-04,,,,1.6
6,train,0.037032,2.000e-04,,,,1.7
7,train,0.038273,2.000e-04,,,,1.7
8,train,0.036231,2.000e-04,,,,1.8
9,train,0.036347,2.000e-04,,,,1.8
10,train,0.031136,2.000e-04,,,,1.8
11,train,0.030206,2.000e-04,,,,1.9
12,train,0.033753,2.000e-04,,,,1.9
13,train,0.029325,2.000e-04,,,,2.0
14,train,0.024711,2.000e-04,,,,2.0
15,train,0.025598,2.000e-04,,,,2.1
16,train,0.024745,2.000e-04,,,,2.1
17,train,0.021692,2.000e-04,,,,2.2
18,train,0.025449,2.000e-04,,,,2.2
19,train,0.023190,2.000e-04,,,,2.3
20,train,0.021754,2.000e-04,,,,2.3
21,train,0.018061,2.000e-04,,,,2.4
22,train,0.021354,2.000e-04,,,,2.4
23,train,0.026495,2.000e-04,,,,2.5
24,train,0.020262,2.000e-04,,,,2.5
25,train,0.019846,2.000e-04,,,,2.5
26,train,0.019192,2.000e-04,,,,2.6
27,train,0.025020,2.000e-04,,,,2.6
28,train,0.016248,2.000e-04,,,,2.7
29,train,0.020862,2.000e-04,,,,2.7
30,train,0.024225,2.000e-04,,,,2.8
31,train,0.021588,2.000e-04,,,,2.8
32,train,0.017775,2.000e-04,,,,2.9
33,train,0.018254,2.000e-04,,,,2.9
34,train,0.018227,2.000e-04,,,,3.0
35,train,0.017277,2.000e-04,,,,3.0
36,train,0.016143,2.000e-04,,,,3.1
37,train,0.017385,2.000e-04,,,,3.1
38,train,0.013114,2.000e-04,,,,3.1
39,train,0.018969,2.000e-04,,,,3.2
40,train,0.020181,2.000e-04,,,,3.2
41,train,0.016140,2.000e-04,,,,3.3
42,train,0.016221,2.000e-04,,,,3.3
43,train,0.015440,2.000e-04,,,,3.4
44,train,0.014271,2.000e-04,,,,3.4
45,train,0.015155,2.000e-04,,,,3.5
46,train,0.016581,2.000e-04,,,,3.5
47,train,0.017211,2.000e-04,,,,3.6
48,train,0.018637,2.000e-04,,,,3.6
49,train,0.014156,2.000e-04,,,,3.7
50,train,0.017659,2.000e-04,,,,3.7
51,train,0.016620,2.000e-04,,,,3.7
52,train,0.017360,2.000e-04,,,,3.8
53,train,0.016401,2.000e-04,,,,3.8
54,train,0.017822,2.000e-04,,,,3.9
55,train,0.014763,2.000e-04,,,,3.9
56,train,0.015811,2.000e-04,,,,4.0
57,train,0.019187,2.000e-04,,,,4.0
58,train,0.010976,2.000e-04,,,,4.1
59,train,0.015237,2.000e-04,,,,4.1
60,train,0.013882,2.000e-04,,,,4.1
61,train,0.015066,2.000e-04,,,,4.2
62,train,0.014717,2.000e-04,,,,4.2
63,train,0.016834,2.000e-04,,,,4.3
64,train,0.019346,2.000e-04,,,,4.3
65,train,0.015866,2.000e-04,,,,4.4
66,train,0.013989,2.000e-04,,,,4.4
67,train,0.020203,2.000e-04,,,,4.5
68,train,0.017342,2.000e-04,,,,4.5
69,train,0.016982,2.000e-04,,,,4.6
70,train,0.018307,2.000e-04,,,,4.6
71,train,0.016111,2.000e-04,,,,4.7
72,train,0.017678,2.000e-04,,,,4.7
73,train,0.014301,2.000e-04,,,,4.7
74,train,0.017753,2.000e-04,,,,4.8
75,train,0.014100,2.000e-04,,,,4.8
76,train,0.019297,2.000e-04,,,,4.9
77,train,0.013002,2.000e-04,,,,4.9
78,train,0.016055,2.000e-04,,,,5.0
79,train,0.020297,2.000e-04,,,,5.0
80,train,0.014340,2.000e-04,,,,5.1
81,train,0.017067,2.000e-04,,,,5.1
82,train,0.015253,2.000e-04,,,,5.2
83,train,0.016212,2.000e-04,,,,5.2
84,train,0.015406,2.000e-04,,,,5.3
85,train,0.013073,2.000e-04,,,,5.3
86,train,0.015222,2.000e-04,,,,5.3
87,train,0.016998,2.000e-04,,,,5.4
88,train,0.014679,2.000e-04,,,,5.4
89,train,0.016053,2.000e-04,,,,5.5
90,train,0.019479,2.000e-04,,,,5.5
91,train,0.014230,2.000e-04,,,,5.6
92,train,0.016049,2.000e-04,,,,5.6
93,train,0.013922,2.000e-04,,,,5.7
94,train,0.016991,2.000e-04,,,,5.7
95,train,0.014219,2.000e-04,,,,5.8
96,train,0.014599,2.000e-04,,,,5.8
97,train,0.015081,2.000e-04,,,,5.8
98,train,0.013965,2.000e-04,,,,5.9
99,train,0.012306,2.000e-04,,,,5.9
100,train,0.014766,2.000e-04,,,,6.0
101,train,0.023748,2.000e-04,,,,6.0
102,train,0.016806,2.000e-04,,,,6.1
103,train,0.016766,2.000e-04,,,,6.1
104,train,0.013197,2.000e-04,,,,6.2
105,train,0.016404,2.000e-04,,,,6.2
106,train,0.013363,2.000e-04,,,,6.3
107,train,0.014683,2.000e-04,,,,6.3
108,train,0.014003,2.000e-04,,,,6.4
109,train,0.017942,2.000e-04,,,,6.4
110,train,0.014697,2.000e-04,,,,6.4
111,train,0.017181,2.000e-04,,,,6.5
112,train,0.021050,2.000e-04,,,,6.5
113,train,0.016688,2.000e-04,,,,6.6
114,train,0.016750,2.000e-04,,,,6.6
115,train,0.014209,2.000e-04,,,,6.7
116,train,0.014299,2.000e-04,,,,6.7
117,train,0.014691,2.000e-04,,,,6.8
118,train,0.019692,2.000e-04,,,,6.8
119,train,0.017437,2.000e-04,,,,6.9
120,train,0.015885,2.000e-04,,,,6.9
121,train,0.015156,2.000e-04,,,,6.9
122,train,0.015595,2.000e-04,,,,7.0
123,train,0.014986,2.000e-04,,,,7.0
124,train,0.013755,2.000e-04,,,,7.1
125,train,0.015313,2.000e-04,,,,7.1
126,train,0.012000,2.000e-04,,,,7.2
127,train,0.014925,2.000e-04,,,,7.2
128,train,0.011919,2.000e-04,,,,7.3
129,train,0.015420,2.000e-04,,,,7.3
130,train,0.014387,2.000e-04,,,,7.4
131,train,0.015125,2.000e-04,,,,7.4
132,train,0.013907,2.000e-04,,,,7.5
133,train,0.019409,2.000e-04,,,,7.5
134,train,0.019503,2.000e-04,,,,7.5
135,train,0.018737,2.000e-04,,,,7.6
136,train,0.015101,2.000e-04,,,,7.6
137,train,0.013113,2.000e-04,,,,7.7
138,train,0.015228,2.000e-04,,,,7.7
139,train,0.015035,2.000e-04,,,,7.8
140,train,0.016635,2.000e-04,,,,7.8
141,train,0.013651,2.000e-04,,,,7.9
142,train,0.014080,2.000e-04,,,,7.9
143,train,0.016146,2.000e-04,,,,8.0
144,train,0.016830,2.000e-04,,,,8.0
145,train,0.015885,2.000e-04,,,,8.1
146,train,0.015170,2.000e-04,,,,8.1
147,train,0.017087,2.000e-04,,,,8.1
148,train,0.015788,2.000e-04,,,,8.2
149,train,0.016991,2.000e-04,,,,8.2
150,train,0.020837,2.000e-04,,,,8.3
151,train,0.016580,2.000e-04,,,,8.3
152,train,0.020168,2.000e-04,,,,8.4
153,train,0.017354,2.000e-04,,,,8.4
154,train,0.015894,2.000e-04,,,,8.5
155,train,0.020558,2.000e-04,,,,8.5
156,train,0.015619,2.000e-04,,,,8.6
157,train,0.014825,2.000e-04,,,,8.6
158,train,0.012838,2.000e-04,,,,8.6
159,train,0.021243,2.000e-04,,,,8.7
160,train,0.017696,2.000e-04,,,,8.7
161,train,0.018610,2.000e-04,,,,8.8
162,train,0.013176,2.000e-04,,,,8.8
163,train,0.017151,2.000e-04,,,,8.9
164,train,0.016261,2.000e-04,,,,8.9
165,train,0.016912,2.000e-04,,,,9.0
166,train,0.017197,2.000e-04,,,,9.0
167,train,0.012458,2.000e-04,,,,9.1
168,train,0.013093,2.000e-04,,,,9.1
169,train,0.012875,2.000e-04,,,,9.1
170,train,0.010630,2.000e-04,,,,9.2
171,train,0.015210,2.000e-04,,,,9.2
172,train,0.014433,2.000e-04,,,,9.3
173,train,0.019855,2.000e-04,,,,9.3
174,train,0.016743,2.000e-04,,,,9.4
175,train,0.012951,2.000e-04,,,,9.4
176,train,0.019814,2.000e-04,,,,9.5
177,train,0.015271,2.000e-04,,,,9.5
178,train,0.017200,2.000e-04,,,,9.6
179,train,0.015155,2.000e-04,,,,9.6
180,train,0.012956,2.000e-04,,,,9.6
181,train,0.012203,2.000e-04,,,,9.7
182,train,0.014743,2.000e-04,,,,9.7
183,train,0.019319,2.000e-04,,,,9.8
