iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.140334,2.000e-04,,,,2.6
2,train,0.108633,2.000e-04,,,,2.6
3,train,0.075827,2.000e-04,,,,2.6
4,train,0.061035,2.000e-04,,,,2.7
5,train,0.054389,2.000e-04,,,,2.7
6,train,0.042490,2.000e-04,,,,2.8
7,train,0.037787,2.000e-04,,,,2.8
8,train,0.035315,2.000e-04,,,,2.8
9,train,0.037608,2.000e-04,,,,2.9
10,train,0.032666,2.000e-04,,,,2.9
11,train,0.030255,2.000e-04,,,,2.9
12,train,0.033421,2.000e-04,,,,3.0
13,train,0.030212,2.000e-04,,,,3.0
14,train,0.024947,2.000e-04,,,,3.0
15,train,0.025376,2.000e-04,,,,3.1
16,train,0.024972,2.000e-04,,,,3.1
17,train,0.022319,2.000e-04,,,,3.1
18,train,0.025894,2.000e-04,,,,3.2
19,train,0.023883,2.000e-04,,,,3.2
20,train,0.021469,2.000e-04,,,,3.2
21,train,0.017714,2.000e-04,,,,3.3
22,train,0.021169,2.000e-04,,,,3.3
23,train,0.026736,2.000e-04,,,,3.3
24,train,0.020594,2.000e-04,,,,3.4
25,train,0.019547,2.000e-04,,,,3.4
26,train,0.018856,2.000e-04,,,,3.4
27,train,0.024882,2.000e-04,,,,3.5
28,train,0.016023,2.000e-04,,,,3.5
29,train,0.020677,2.000e-04,,,,3.5
30,train,0.024270,2.000e-04,,,,3.6
31,train,0.021271,2.000e-04,,,,3.6
32,train,0.017243,2.000e-04,,,,3.6
33,train,0.017913,2.000e-04,,,,3.7
34,train,0.018041,2.000e-04,,,,3.7
35,train,0.017402,2.000e-04,,,,3.7
36,train,0.015942,2.000e-04,,,,3.8
37,train,0.017220,2.000e-04,,,,3.8
38,train,0.012891,2.000e-04,,,,3.8
39,train,0.018842,2.000e-04,,,,3.8
40,train,0.019825,2.000e-04,,,,3.9
41,train,0.016003,2.000e-04,,,,3.9
42,train,0.015769,2.000e-04,,,,3.9
43,train,0.015365,2.000e-04,,,,4.0
44,train,0.013958,2.000e-04,,,,4.0
45,train,0.014919,2.000e-04,,,,4.0
46,train,0.016027,2.000e-04,,,,4.1
47,train,0.016930,2.000e-04,,,,4.1
48,train,0.018326,2.000e-04,,,,4.1
49,train,0.014165,2.000e-04,,,,4.2
50,train,0.017866,2.000e-04,,,,4.2
51,train,0.016263,2.000e-04,,,,4.2
52,train,0.017573,2.000e-04,,,,4.3
53,train,0.016106,2.000e-04,,,,4.3
54,train,0.017908,2.000e-04,,,,4.3
55,train,0.014840,2.000e-04,,,,4.4
56,train,0.015769,2.000e-04,,,,4.4
57,train,0.018894,2.000e-04,,,,4.4
58,train,0.010963,2.000e-04,,,,4.5
59,train,0.015014,2.000e-04,,,,4.5
60,train,0.014312,2.000e-04,,,,4.5
61,train,0.014679,2.000e-04,,,,4.6
62,train,0.014914,2.000e-04,,,,4.6
63,train,0.016812,2.000e-04,,,,4.6
64,train,0.018767,2.000e-04,,,,4.7
65,train,0.015479,2.000e-04,,,,4.7
66,train,0.013390,2.000e-04,,,,4.7
67,train,0.019480,2.000e-04,,,,4.7
68,train,0.016499,2.000e-04,,,,4.8
69,train,0.016454,2.000e-04,,,,4.8
70,train,0.017241,2.000e-04,,,,4.8
71,train,0.015279,2.000e-04,,,,4.9
72,train,0.017338,2.000e-04,,,,4.9
73,train,0.013297,2.000e-04,,,,4.9
74,train,0.017302,2.000e-04,,,,5.0
75,train,0.013184,2.000e-04,,,,5.0
76,train,0.018913,2.000e-04,,,,5.0
77,train,0.012663,2.000e-04,,,,5.1
78,train,0.015584,2.000e-04,,,,5.1
79,train,0.020006,2.000e-04,,,,5.1
80,train,0.013778,2.000e-04,,,,5.2
81,train,0.016794,2.000e-04,,,,5.2
82,train,0.015038,2.000e-04,,,,5.2
