iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.149680,2.000e-04,,,,1.6
2,train,0.117563,2.000e-04,,,,2.1
3,train,0.088531,1.999e-04,,,,2.6
4,train,0.083705,1.998e-04,,,,3.1
5,train,0.071642,1.996e-04,,,,3.6
6,train,0.067637,1.995e-04,,,,4.1
7,train,0.057931,1.992e-04,,,,4.6
8,train,0.053670,1.989e-04,,,,5.1
9,train,0.048971,1.986e-04,,,,5.6
10,train,0.043335,1.982e-04,,,,6.1
11,train,0.039604,1.978e-04,,,,6.5
12,train,0.036921,1.974e-04,,,,7.1
13,train,0.036203,1.969e-04,,,,7.5
14,train,0.042251,1.963e-04,,,,8.0
15,train,0.032128,1.957e-04,,,,8.5
16,train,0.034587,1.951e-04,,,,9.0
17,train,0.033298,1.944e-04,,,,9.5
18,train,0.034226,1.937e-04,,,,10.0
19,train,0.031845,1.930e-04,,,,10.5
20,train,0.027773,1.922e-04,,,,11.0
21,train,0.026697,1.914e-04,,,,11.5
22,train,0.026876,1.905e-04,,,,11.9
23,train,0.026025,1.896e-04,,,,12.5
24,train,0.022756,1.886e-04,,,,12.9
25,train,0.021512,1.876e-04,,,,13.4
26,train,0.025670,1.866e-04,,,,13.9
27,train,0.039899,1.855e-04,,,,14.4
28,train,0.026487,1.844e-04,,,,14.9
29,train,0.021591,1.833e-04,,,,15.4
30,train,0.025233,1.821e-04,,,,15.9
31,train,0.026120,1.809e-04,,,,16.4
32,train,0.023116,1.797e-04,,,,16.8
33,train,0.024673,1.784e-04,,,,17.3
34,train,0.024839,1.771e-04,,,,17.8
35,train,0.018398,1.757e-04,,,,18.3
36,train,0.027857,1.743e-04,,,,18.8
37,train,0.019549,1.729e-04,,,,19.3
38,train,0.023589,1.714e-04,,,,19.8
39,train,0.021658,1.700e-04,,,,20.3
40,train,0.026242,1.685e-04,,,,20.8
41,train,0.023776,1.669e-04,,,,21.3
42,train,0.027242,1.653e-04,,,,21.8
43,train,0.026112,1.637e-04,,,,22.3
44,train,0.029230,1.621e-04,,,,22.8
45,train,0.013762,1.605e-04,,,,23.4
46,train,0.020432,1.588e-04,,,,23.9
47,train,0.020502,1.571e-04,,,,24.3
48,train,0.027999,1.553e-04,,,,24.8
49,train,0.023088,1.536e-04,,,,25.3
50,train,0.022020,1.518e-04,,,,25.8
51,train,0.019857,1.500e-04,,,,26.4
52,train,0.024750,1.482e-04,,,,26.8
53,train,0.014008,1.463e-04,,,,27.4
54,train,0.021493,1.445e-04,,,,27.8
55,train,0.017475,1.426e-04,,,,28.3
56,train,0.020783,1.407e-04,,,,28.8
57,train,0.019393,1.388e-04,,,,29.3
58,train,0.025793,1.368e-04,,,,29.9
59,train,0.017869,1.349e-04,,,,30.5
60,train,0.016861,1.329e-04,,,,31.0
61,train,0.019374,1.309e-04,,,,31.5
62,train,0.014922,1.289e-04,,,,31.9
63,train,0.018873,1.269e-04,,,,32.4
64,train,0.017384,1.249e-04,,,,32.9
65,train,0.016544,1.228e-04,,,,33.5
66,train,0.018259,1.208e-04,,,,34.0
67,train,0.026080,1.187e-04,,,,34.5
68,train,0.016500,1.167e-04,,,,35.0
69,train,0.018374,1.146e-04,,,,35.5
70,train,0.023757,1.125e-04,,,,36.0
71,train,0.028679,1.105e-04,,,,36.6
72,train,0.019029,1.084e-04,,,,37.1
73,train,0.021250,1.063e-04,,,,37.6
74,train,0.023461,1.042e-04,,,,38.1
75,train,0.010581,1.021e-04,,,,38.6
76,train,0.017444,1.000e-04,,,,39.2
77,train,0.018616,9.791e-05,,,,39.7
78,train,0.021865,9.581e-05,,,,40.3
79,train,0.017888,9.372e-05,,,,40.7
80,train,0.015927,9.163e-05,,,,41.3
81,train,0.015185,8.955e-05,,,,41.8
82,train,0.021019,8.747e-05,,,,42.4
83,train,0.017547,8.539e-05,,,,43.0
84,train,0.017273,8.332e-05,,,,43.5
85,train,0.013433,8.126e-05,,,,44.0
86,train,0.016331,7.921e-05,,,,44.6
87,train,0.017989,7.716e-05,,,,45.1
88,train,0.019621,7.513e-05,,,,45.7
89,train,0.021984,7.311e-05,,,,46.2
90,train,0.015358,7.110e-05,,,,46.7
91,train,0.012569,6.910e-05,,,,47.2
92,train,0.015092,6.711e-05,,,,47.7
93,train,0.013523,6.514e-05,,,,48.3
94,train,0.016661,6.319e-05,,,,48.8
95,train,0.016896,6.125e-05,,,,49.3
96,train,0.016196,5.933e-05,,,,49.8
97,train,0.025210,5.742e-05,,,,50.4
98,train,0.010953,5.554e-05,,,,50.9
99,train,0.012938,5.367e-05,,,,51.5
100,train,0.015446,5.182e-05,,,,52.0
101,train,0.021805,5.000e-05,,,,52.5
102,train,0.016693,4.820e-05,,,,53.0
103,train,0.019074,4.642e-05,,,,53.5
104,train,0.024919,4.466e-05,,,,54.1
105,train,0.017690,4.293e-05,,,,54.6
106,train,0.017937,4.122e-05,,,,55.2
107,train,0.019720,3.954e-05,,,,55.7
108,train,0.020343,3.789e-05,,,,56.3
109,train,0.021263,3.626e-05,,,,56.8
110,train,0.017063,3.466e-05,,,,57.2
111,train,0.018392,3.309e-05,,,,57.7
112,train,0.014799,3.155e-05,,,,58.3
113,train,0.015057,3.003e-05,,,,58.8
114,train,0.016974,2.855e-05,,,,59.3
115,train,0.012824,2.710e-05,,,,59.8
116,train,0.011086,2.569e-05,,,,60.4
117,train,0.020161,2.430e-05,,,,60.9
118,train,0.022136,2.295e-05,,,,61.4
