iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.114243,2.000e-04,,,,1.6
2,train,0.086559,2.000e-04,,,,2.1
3,train,0.066655,1.999e-04,,,,2.5
4,train,0.064580,1.998e-04,,,,3.0
5,train,0.052340,1.996e-04,,,,3.5
6,train,0.047090,1.995e-04,,,,4.0
7,train,0.042537,1.992e-04,,,,4.6
8,train,0.041844,1.989e-04,,,,5.1
9,train,0.041166,1.986e-04,,,,5.6
10,train,0.036490,1.982e-04,,,,6.1
11,train,0.035915,1.978e-04,,,,6.6
12,train,0.033484,1.974e-04,,,,7.1
13,train,0.027959,1.969e-04,,,,7.6
14,train,0.035427,1.963e-04,,,,8.1
15,train,0.024614,1.957e-04,,,,8.6
16,train,0.028889,1.951e-04,,,,9.2
17,train,0.029332,1.944e-04,,,,9.7
18,train,0.031353,1.937e-04,,,,10.2
19,train,0.028264,1.930e-04,,,,10.7
20,train,0.023870,1.922e-04,,,,11.2
21,train,0.023468,1.914e-04,,,,11.8
22,train,0.023064,1.905e-04,,,,12.3
23,train,0.022579,1.896e-04,,,,12.8
24,train,0.019177,1.886e-04,,,,13.4
25,train,0.018750,1.876e-04,,,,13.8
26,train,0.022893,1.866e-04,,,,14.3
27,train,0.037827,1.855e-04,,,,14.8
28,train,0.023539,1.844e-04,,,,15.3
29,train,0.018435,1.833e-04,,,,15.7
30,train,0.022923,1.821e-04,,,,16.2
31,train,0.023885,1.809e-04,,,,16.7
32,train,0.020687,1.797e-04,,,,17.2
33,train,0.022763,1.784e-04,,,,17.6
34,train,0.022667,1.771e-04,,,,18.2
35,train,0.016020,1.757e-04,,,,18.6
36,train,0.026156,1.743e-04,,,,19.1
37,train,0.017699,1.729e-04,,,,19.6
38,train,0.021169,1.714e-04,,,,20.1
39,train,0.019457,1.700e-04,,,,20.6
40,train,0.024775,1.685e-04,,,,21.1
41,train,0.022053,1.669e-04,,,,21.6
42,train,0.025974,1.653e-04,,,,22.1
43,train,0.024291,1.637e-04,,,,22.6
44,train,0.027755,1.621e-04,,,,23.1
45,train,0.011912,1.605e-04,,,,23.6
46,train,0.018974,1.588e-04,,,,24.1
47,train,0.019173,1.571e-04,,,,24.5
48,train,0.026821,1.553e-04,,,,25.0
49,train,0.021806,1.536e-04,,,,25.5
50,train,0.020596,1.518e-04,,,,25.9
51,train,0.018544,1.500e-04,,,,26.5
52,train,0.023442,1.482e-04,,,,27.0
53,train,0.012744,1.463e-04,,,,27.5
54,train,0.019845,1.445e-04,,,,27.9
55,train,0.016192,1.426e-04,,,,28.4
56,train,0.019840,1.407e-04,,,,28.9
57,train,0.018326,1.388e-04,,,,29.4
58,train,0.024591,1.368e-04,,,,30.0
59,train,0.016771,1.349e-04,,,,30.5
60,train,0.015748,1.329e-04,,,,31.0
61,train,0.018278,1.309e-04,,,,31.5
62,train,0.013733,1.289e-04,,,,31.9
63,train,0.017909,1.269e-04,,,,32.4
64,train,0.016304,1.249e-04,,,,32.9
65,train,0.015405,1.228e-04,,,,33.5
66,train,0.017105,1.208e-04,,,,34.0
67,train,0.024715,1.187e-04,,,,34.4
68,train,0.015494,1.167e-04,,,,35.0
69,train,0.017546,1.146e-04,,,,35.4
70,train,0.022820,1.125e-04,,,,35.9
71,train,0.027959,1.105e-04,,,,36.4
72,train,0.018199,1.084e-04,,,,36.9
73,train,0.020355,1.063e-04,,,,37.4
74,train,0.022505,1.042e-04,,,,37.8
75,train,0.009453,1.021e-04,,,,38.3
76,train,0.016518,1.000e-04,,,,38.8
77,train,0.018066,9.791e-05,,,,39.4
78,train,0.021100,9.581e-05,,,,39.9
79,train,0.017142,9.372e-05,,,,40.3
80,train,0.015217,9.163e-05,,,,40.8
81,train,0.014419,8.955e-05,,,,41.3
82,train,0.020264,8.747e-05,,,,41.9
83,train,0.016715,8.539e-05,,,,42.4
84,train,0.016475,8.332e-05,,,,42.9
85,train,0.012518,8.126e-05,,,,43.3
86,train,0.015898,7.921e-05,,,,43.8
87,train,0.017261,7.716e-05,,,,44.3
88,train,0.018471,7.513e-05,,,,44.9
89,train,0.021398,7.311e-05,,,,45.4
90,train,0.014381,7.110e-05,,,,45.9
