iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.114246,2.000e-04,,,,1.5
2,train,0.086529,2.000e-04,,,,1.9
3,train,0.066687,2.000e-04,,,,2.4
4,train,0.064616,2.000e-04,,,,2.8
5,train,0.052376,2.000e-04,,,,3.3
6,train,0.047125,2.000e-04,,,,3.8
7,train,0.042546,1.999e-04,,,,4.3
8,train,0.041857,1.999e-04,,,,4.7
9,train,0.041179,1.999e-04,,,,5.2
10,train,0.036473,1.998e-04,,,,5.6
11,train,0.035867,1.998e-04,,,,6.0
12,train,0.033461,1.998e-04,,,,6.6
13,train,0.027927,1.997e-04,,,,7.0
14,train,0.035372,1.997e-04,,,,7.5
15,train,0.024563,1.996e-04,,,,7.9
16,train,0.028865,1.996e-04,,,,8.3
17,train,0.029306,1.995e-04,,,,8.8
18,train,0.031289,1.994e-04,,,,9.2
19,train,0.028210,1.994e-04,,,,9.6
20,train,0.023819,1.993e-04,,,,10.0
21,train,0.023369,1.992e-04,,,,10.4
22,train,0.023009,1.991e-04,,,,10.9
23,train,0.022530,1.990e-04,,,,11.3
24,train,0.019108,1.990e-04,,,,11.7
25,train,0.018566,1.989e-04,,,,12.2
26,train,0.022709,1.988e-04,,,,12.6
27,train,0.037762,1.987e-04,,,,13.0
28,train,0.023437,1.986e-04,,,,13.5
29,train,0.018275,1.985e-04,,,,13.9
30,train,0.022745,1.983e-04,,,,14.3
31,train,0.023758,1.982e-04,,,,14.8
32,train,0.020531,1.981e-04,,,,15.2
33,train,0.022545,1.980e-04,,,,15.6
34,train,0.022438,1.979e-04,,,,16.1
35,train,0.015935,1.977e-04,,,,16.5
36,train,0.025944,1.976e-04,,,,17.0
37,train,0.017366,1.975e-04,,,,17.4
38,train,0.021033,1.973e-04,,,,17.9
39,train,0.019353,1.972e-04,,,,18.3
40,train,0.024576,1.970e-04,,,,18.8
41,train,0.021714,1.969e-04,,,,19.3
42,train,0.025638,1.967e-04,,,,19.7
43,train,0.024086,1.965e-04,,,,20.1
44,train,0.027588,1.964e-04,,,,20.6
45,train,0.011566,1.962e-04,,,,21.1
46,train,0.018707,1.960e-04,,,,21.6
47,train,0.018918,1.959e-04,,,,22.0
48,train,0.026538,1.957e-04,,,,22.5
49,train,0.021443,1.955e-04,,,,22.9
50,train,0.020409,1.953e-04,,,,23.4
51,train,0.018274,1.951e-04,,,,23.9
52,train,0.023089,1.949e-04,,,,24.4
53,train,0.012440,1.947e-04,,,,24.9
54,train,0.019512,1.945e-04,,,,25.3
55,train,0.015888,1.943e-04,,,,25.7
56,train,0.019434,1.941e-04,,,,26.2
57,train,0.017958,1.939e-04,,,,26.7
58,train,0.024311,1.937e-04,,,,27.2
59,train,0.016340,1.934e-04,,,,27.7
