iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.111597,2.000e-04,,,,1.6
2,train,0.096824,2.000e-04,,,,2.1
3,train,0.077919,1.999e-04,,,,2.6
4,train,0.075410,1.998e-04,,,,3.1
5,train,0.061509,1.996e-04,,,,3.6
6,train,0.059837,1.995e-04,,,,4.1
7,train,0.053920,1.992e-04,,,,4.6
8,train,0.053857,1.989e-04,,,,5.2
9,train,0.050633,1.986e-04,,,,5.6
10,train,0.044741,1.982e-04,,,,6.1
11,train,0.040990,1.978e-04,,,,6.5
12,train,0.038297,1.974e-04,,,,7.1
13,train,0.033887,1.969e-04,,,,7.6
14,train,0.040888,1.963e-04,,,,8.1
15,train,0.030036,1.957e-04,,,,8.5
16,train,0.033973,1.951e-04,,,,9.1
17,train,0.033525,1.944e-04,,,,9.6
18,train,0.034587,1.937e-04,,,,10.0
19,train,0.031951,1.930e-04,,,,10.5
20,train,0.027672,1.922e-04,,,,11.0
21,train,0.027011,1.914e-04,,,,11.5
22,train,0.025824,1.905e-04,,,,12.0
23,train,0.024812,1.896e-04,,,,12.5
24,train,0.020744,1.886e-04,,,,13.0
25,train,0.020762,1.876e-04,,,,13.5
26,train,0.024645,1.866e-04,,,,14.0
27,train,0.039121,1.855e-04,,,,14.5
28,train,0.025453,1.844e-04,,,,15.0
29,train,0.020484,1.833e-04,,,,15.4
30,train,0.024003,1.821e-04,,,,15.9
31,train,0.024988,1.809e-04,,,,16.4
32,train,0.021707,1.797e-04,,,,16.9
33,train,0.024000,1.784e-04,,,,17.4
34,train,0.023857,1.771e-04,,,,17.9
35,train,0.016689,1.757e-04,,,,18.4
36,train,0.026997,1.743e-04,,,,18.9
37,train,0.018606,1.729e-04,,,,19.4
38,train,0.022370,1.714e-04,,,,19.9
39,train,0.020060,1.700e-04,,,,20.4
40,train,0.025200,1.685e-04,,,,21.0
41,train,0.022479,1.669e-04,,,,21.5
42,train,0.026306,1.653e-04,,,,22.0
43,train,0.024792,1.637e-04,,,,22.5
44,train,0.027951,1.621e-04,,,,23.0
45,train,0.012405,1.605e-04,,,,23.5
46,train,0.019518,1.588e-04,,,,24.0
47,train,0.019577,1.571e-04,,,,24.5
48,train,0.026783,1.553e-04,,,,25.0
49,train,0.021988,1.536e-04,,,,25.5
50,train,0.020987,1.518e-04,,,,26.0
51,train,0.018496,1.500e-04,,,,26.5
52,train,0.023570,1.482e-04,,,,27.0
53,train,0.013342,1.463e-04,,,,27.6
54,train,0.019436,1.445e-04,,,,28.0
55,train,0.016665,1.426e-04,,,,28.5
56,train,0.019746,1.407e-04,,,,28.9
57,train,0.018333,1.388e-04,,,,29.5
58,train,0.024813,1.368e-04,,,,30.0
59,train,0.016773,1.349e-04,,,,30.6
60,train,0.015803,1.329e-04,,,,31.1
61,train,0.018467,1.309e-04,,,,31.6
62,train,0.014031,1.289e-04,,,,32.0
63,train,0.017794,1.269e-04,,,,32.6
64,train,0.016120,1.249e-04,,,,33.1
65,train,0.014914,1.228e-04,,,,33.7
66,train,0.017728,1.208e-04,,,,34.2
67,train,0.024606,1.187e-04,,,,34.7
68,train,0.015467,1.167e-04,,,,35.2
69,train,0.017712,1.146e-04,,,,35.7
70,train,0.022623,1.125e-04,,,,36.2
71,train,0.027652,1.105e-04,,,,36.8
72,train,0.018087,1.084e-04,,,,37.3
73,train,0.020473,1.063e-04,,,,37.8
74,train,0.021870,1.042e-04,,,,38.3
75,train,0.009890,1.021e-04,,,,38.8
76,train,0.016307,1.000e-04,,,,39.3
77,train,0.017271,9.791e-05,,,,39.9
78,train,0.020158,9.581e-05,,,,40.5
79,train,0.016908,9.372e-05,,,,40.9
80,train,0.014645,9.163e-05,,,,41.5
81,train,0.014463,8.955e-05,,,,42.0
82,train,0.020041,8.747e-05,,,,42.6
83,train,0.016671,8.539e-05,,,,43.1
84,train,0.016526,8.332e-05,,,,43.7
85,train,0.012771,8.126e-05,,,,44.2
86,train,0.015442,7.921e-05,,,,44.7
87,train,0.017271,7.716e-05,,,,45.3
88,train,0.017620,7.513e-05,,,,45.8
89,train,0.021019,7.311e-05,,,,46.4
90,train,0.014461,7.110e-05,,,,46.9
91,train,0.011904,6.910e-05,,,,47.4
92,train,0.014494,6.711e-05,,,,47.9
93,train,0.012571,6.514e-05,,,,48.4
94,train,0.015398,6.319e-05,,,,49.0
95,train,0.016043,6.125e-05,,,,49.5
96,train,0.014875,5.933e-05,,,,50.0
97,train,0.024282,5.742e-05,,,,50.6
98,train,0.010050,5.554e-05,,,,51.1
99,train,0.012396,5.367e-05,,,,51.6
100,train,0.014386,5.182e-05,,,,52.2
101,train,0.021012,5.000e-05,,,,52.7
102,train,0.016049,4.820e-05,,,,53.2
103,train,0.018156,4.642e-05,,,,53.8
104,train,0.024000,4.466e-05,,,,54.3
105,train,0.016542,4.293e-05,,,,54.8
106,train,0.016964,4.122e-05,,,,55.4
107,train,0.019079,3.954e-05,,,,55.9
108,train,0.019374,3.789e-05,,,,56.5
109,train,0.020301,3.626e-05,,,,57.0
110,train,0.016435,3.466e-05,,,,57.4
111,train,0.017566,3.309e-05,,,,57.9
112,train,0.013825,3.155e-05,,,,58.5
113,train,0.014071,3.003e-05,,,,59.0
114,train,0.015664,2.855e-05,,,,59.5
115,train,0.012082,2.710e-05,,,,60.0
116,train,0.010242,2.569e-05,,,,60.6
117,train,0.019477,2.430e-05,,,,61.1
118,train,0.021320,2.295e-05,,,,61.6
119,train,0.019568,2.163e-05,,,,62.1
120,train,0.009042,2.035e-05,,,,62.6
121,train,0.016370,1.910e-05,,,,63.2
122,train,0.021599,1.789e-05,,,,63.7
123,train,0.014668,1.671e-05,,,,64.2
124,train,0.017356,1.557e-05,,,,64.7
125,train,0.011924,1.446e-05,,,,65.2
126,train,0.021453,1.340e-05,,,,65.8
127,train,0.030306,1.237e-05,,,,66.3
128,train,0.013179,1.138e-05,,,,66.8
129,train,0.017448,1.043e-05,,,,67.2
130,train,0.014279,9.517e-06,,,,67.8
131,train,0.021023,8.645e-06,,,,68.3
132,train,0.013761,7.814e-06,,,,68.8
133,train,0.013794,7.022e-06,,,,69.3
134,train,0.012704,6.272e-06,,,,69.9
135,train,0.014076,5.562e-06,,,,70.4
136,train,0.024495,4.894e-06,,,,70.9
137,train,0.015506,4.268e-06,,,,71.4
138,train,0.019165,3.684e-06,,,,71.9
139,train,0.023073,3.142e-06,,,,72.5
140,train,0.018503,2.642e-06,,,,73.0
141,train,0.021218,2.185e-06,,,,73.6
142,train,0.019546,1.771e-06,,,,74.1
143,train,0.016060,1.400e-06,,,,74.6
144,train,0.016877,1.073e-06,,,,75.2
145,train,0.010543,7.885e-07,,,,75.7
146,train,0.014008,5.478e-07,,,,76.2
147,train,0.018810,3.507e-07,,,,76.7
148,train,0.024932,1.973e-07,,,,77.2
149,train,0.024466,8.772e-08,,,,77.7
150,train,0.009560,2.193e-08,,,,78.2
150,val,,,30.6224,30.2648,0.9084,84.2
