iter,split,loss,lr,cpsnr,psnr,ssim,time
1,train,0.114321,2.000e-04,,,,1.6
2,train,0.086190,2.000e-04,,,,2.1
3,train,0.066619,2.000e-04,,,,2.6
4,train,0.064325,2.000e-04,,,,3.1
5,train,0.052027,2.000e-04,,,,3.6
6,train,0.046805,2.000e-04,,,,4.1
7,train,0.042398,1.999e-04,,,,4.6
8,train,0.041780,1.999e-04,,,,5.1
9,train,0.041255,1.999e-04,,,,5.6
10,train,0.036575,1.998e-04,,,,6.1
11,train,0.035806,1.998e-04,,,,6.5
12,train,0.033212,1.998e-04,,,,7.1
13,train,0.028043,1.997e-04,,,,7.6
14,train,0.035273,1.997e-04,,,,8.1
15,train,0.024495,1.996e-04,,,,8.5
16,train,0.028755,1.996e-04,,,,9.0
17,train,0.029282,1.995e-04,,,,9.4
18,train,0.031320,1.994e-04,,,,9.8
19,train,0.028257,1.994e-04,,,,10.3
20,train,0.023819,1.993e-04,,,,10.8
21,train,0.023330,1.992e-04,,,,11.2
22,train,0.023120,1.991e-04,,,,11.7
23,train,0.022464,1.990e-04,,,,12.1
24,train,0.019154,1.990e-04,,,,12.6
25,train,0.018575,1.989e-04,,,,13.0
26,train,0.022738,1.988e-04,,,,13.5
27,train,0.037744,1.987e-04,,,,13.9
28,train,0.023478,1.986e-04,,,,14.4
29,train,0.018399,1.985e-04,,,,14.8
30,train,0.022751,1.983e-04,,,,15.3
31,train,0.023800,1.982e-04,,,,15.8
32,train,0.020629,1.981e-04,,,,16.3
33,train,0.022531,1.980e-04,,,,16.7
34,train,0.022593,1.979e-04,,,,17.2
35,train,0.015925,1.977e-04,,,,17.7
36,train,0.025916,1.976e-04,,,,18.1
37,train,0.017466,1.975e-04,,,,18.6
38,train,0.021014,1.973e-04,,,,19.0
39,train,0.019373,1.972e-04,,,,19.5
40,train,0.024525,1.970e-04,,,,20.0
41,train,0.021744,1.969e-04,,,,20.5
42,train,0.025618,1.967e-04,,,,20.9
43,train,0.024087,1.965e-04,,,,21.4
44,train,0.027517,1.964e-04,,,,21.9
45,train,0.011574,1.962e-04,,,,22.4
46,train,0.018741,1.960e-04,,,,22.9
47,train,0.018888,1.959e-04,,,,23.3
48,train,0.026566,1.957e-04,,,,23.7
49,train,0.021428,1.955e-04,,,,24.2
50,train,0.020447,1.953e-04,,,,24.6
51,train,0.018302,1.951e-04,,,,25.2
52,train,0.023103,1.949e-04,,,,25.6
53,train,0.012390,1.947e-04,,,,26.1
54,train,0.019600,1.945e-04,,,,26.5
55,train,0.015994,1.943e-04,,,,27.0
56,train,0.019430,1.941e-04,,,,27.5
57,train,0.017940,1.939e-04,,,,28.0
58,train,0.024303,1.937e-04,,,,28.6
59,train,0.016377,1.934e-04,,,,29.1
60,train,0.015409,1.932e-04,,,,29.6
61,train,0.017880,1.930e-04,,,,30.1
62,train,0.013495,1.927e-04,,,,30.6
63,train,0.017413,1.925e-04,,,,31.1
64,train,0.015860,1.923e-04,,,,31.5
65,train,0.014928,1.920e-04,,,,32.1
66,train,0.016892,1.918e-04,,,,32.5
67,train,0.024354,1.915e-04,,,,33.0
68,train,0.015047,1.913e-04,,,,33.5
69,train,0.017069,1.910e-04,,,,34.0
70,train,0.022371,1.907e-04,,,,34.5
71,train,0.027393,1.905e-04,,,,35.0
72,train,0.017673,1.902e-04,,,,35.6
73,train,0.019828,1.899e-04,,,,36.0
74,train,0.021990,1.897e-04,,,,36.5
75,train,0.008951,1.894e-04,,,,37.0
76,train,0.016058,1.891e-04,,,,37.5
77,train,0.017529,1.888e-04,,,,38.1
78,train,0.020621,1.885e-04,,,,38.7
79,train,0.016815,1.882e-04,,,,39.2
80,train,0.014529,1.879e-04,,,,39.8
81,train,0.013903,1.876e-04,,,,40.5
82,train,0.019688,1.873e-04,,,,41.2
83,train,0.016170,1.870e-04,,,,41.8
84,train,0.015811,1.867e-04,,,,42.4
85,train,0.011859,1.864e-04,,,,42.9
86,train,0.015230,1.861e-04,,,,43.5
87,train,0.016756,1.858e-04,,,,44.0
88,train,0.017659,1.854e-04,,,,44.6
89,train,0.020663,1.851e-04,,,,45.1
90,train,0.013646,1.848e-04,,,,45.6
91,train,0.010995,1.844e-04,,,,46.1
92,train,0.013618,1.841e-04,,,,46.6
93,train,0.011901,1.838e-04,,,,47.2
94,train,0.014926,1.834e-04,,,,47.7
95,train,0.015355,1.831e-04,,,,48.3
96,train,0.014557,1.827e-04,,,,48.9
97,train,0.023794,1.824e-04,,,,49.4
98,train,0.009141,1.820e-04,,,,50.0
99,train,0.011381,1.816e-04,,,,50.5
100,train,0.013729,1.813e-04,,,,51.1
101,train,0.020495,1.809e-04,,,,51.6
102,train,0.015119,1.805e-04,,,,52.2
103,train,0.017544,1.802e-04,,,,52.7
104,train,0.023489,1.798e-04,,,,53.2
105,train,0.015978,1.794e-04,,,,53.7
106,train,0.016263,1.790e-04,,,,54.3
107,train,0.018196,1.786e-04,,,,54.9
108,train,0.018650,1.782e-04,,,,55.4
109,train,0.019562,1.778e-04,,,,56.0
110,train,0.015507,1.775e-04,,,,56.5
111,train,0.016805,1.771e-04,,,,57.0
112,train,0.013092,1.766e-04,,,,57.6
113,train,0.013327,1.762e-04,,,,58.1
114,train,0.014990,1.758e-04,,,,58.6
115,train,0.011069,1.754e-04,,,,59.2
116,train,0.009171,1.750e-04,,,,59.7
117,train,0.018623,1.746e-04,,,,60.3
118,train,0.020566,1.742e-04,,,,60.8
119,train,0.018433,1.738e-04,,,,61.3
120,train,0.007691,1.733e-04,,,,61.9
121,train,0.015304,1.729e-04,,,,62.4
122,train,0.020871,1.725e-04,,,,62.9
123,train,0.013655,1.720e-04,,,,63.5
124,train,0.016470,1.716e-04,,,,64.0
125,train,0.010697,1.712e-04,,,,64.5
126,train,0.020622,1.707e-04,,,,65.0
127,train,0.029642,1.703e-04,,,,65.6
128,train,0.011950,1.698e-04,,,,66.1
129,train,0.016365,1.694e-04,,,,66.6
130,train,0.013154,1.689e-04,,,,67.2
131,train,0.020174,1.685e-04,,,,67.7
132,train,0.012829,1.680e-04,,,,68.3
133,train,0.012447,1.675e-04,,,,68.8
134,train,0.011547,1.671e-04,,,,69.4
135,train,0.013023,1.666e-04,,,,69.9
136,train,0.023693,1.661e-04,,,,70.5
137,train,0.014434,1.657e-04,,,,71.0
138,train,0.018085,1.652e-04,,,,71.5
139,train,0.022326,1.647e-04,,,,72.1
140,train,0.017386,1.642e-04,,,,72.7
141,train,0.020072,1.637e-04,,,,73.3
142,train,0.018430,1.633e-04,,,,73.8
143,train,0.015007,1.628e-04,,,,74.4
144,train,0.015820,1.623e-04,,,,74.9
145,train,0.009051,1.618e-04,,,,75.5
146,train,0.012683,1.613e-04,,,,76.0
147,train,0.017446,1.608e-04,,,,76.5
148,train,0.024020,1.603e-04,,,,77.1
149,train,0.023517,1.598e-04,,,,77.6
150,train,0.007905,1.593e-04,,,,78.1
151,train,0.007911,1.588e-04,,,,78.7
152,train,0.021150,1.583e-04,,,,79.3
153,train,0.015005,1.578e-04,,,,79.9
154,train,0.017114,1.572e-04,,,,80.4
155,train,0.010895,1.567e-04,,,,80.9
156,train,0.020604,1.562e-04,,,,81.4
157,train,0.009663,1.557e-04,,,,82.0
158,train,0.009665,1.552e-04,,,,82.6
159,train,0.012670,1.546e-04,,,,83.2
160,train,0.013548,1.541e-04,,,,83.7
161,train,0.012375,1.536e-04,,,,84.3
162,train,0.006549,1.531e-04,,,,84.8
163,train,0.009397,1.525e-04,,,,85.3
164,train,0.014329,1.520e-04,,,,85.8
165,train,0.013250,1.514e-04,,,,86.4
166,train,0.010012,1.509e-04,,,,86.9
167,train,0.013902,1.504e-04,,,,87.4
168,train,0.018033,1.498e-04,,,,88.0
169,train,0.013893,1.493e-04,,,,88.5
170,train,0.017863,1.487e-04,,,,89.0
171,train,0.013151,1.482e-04,,,,89.6
172,train,0.011750,1.476e-04,,,,90.2
173,train,0.020783,1.471e-04,,,,90.7
174,train,0.016298,1.465e-04,,,,91.2
175,train,0.022040,1.460e-04,,,,91.7
176,train,0.018492,1.454e-04,,,,92.3
177,train,0.010191,1.448e-04,,,,92.9
178,train,0.014893,1.443e-04,,,,93.4
179,train,0.011784,1.437e-04,,,,93.9
180,train,0.020921,1.431e-04,,,,94.4
181,train,0.020825,1.426e-04,,,,95.0
182,train,0.012124,1.420e-04,,,,95.6
183,train,0.017831,1.414e-04,,,,96.1
184,train,0.018417,1.409e-04,,,,96.7
185,train,0.011997,1.403e-04,,,,97.2
186,train,0.019379,1.397e-04,,,,97.7
187,train,0.006631,1.391e-04,,,,98.3
188,train,0.017808,1.386e-04,,,,98.8
189,train,0.015182,1.380e-04,,,,99.4
190,train,0.009913,1.374e-04,,,,100.0
191,train,0.009938,1.368e-04,,,,100.5
192,train,0.020518,1.362e-04,,,,101.0
193,train,0.013451,1.356e-04,,,,101.5
194,train,0.011555,1.351e-04,,,,102.1
195,train,0.019330,1.345e-04,,,,102.7
196,train,0.013995,1.339e-04,,,,103.2
197,train,0.026413,1.333e-04,,,,103.8
198,train,0.014547,1.327e-04,,,,104.3
199,train,0.015251,1.321e-04,,,,104.8
200,train,0.012696,1.315e-04,,,,105.3
201,train,0.019104,1.309e-04,,,,105.9
202,train,0.019088,1.303e-04,,,,106.5
203,train,0.012012,1.297e-04,,,,107.0
204,train,0.016972,1.291e-04,,,,107.5
205,train,0.013765,1.285e-04,,,,108.1
206,train,0.012690,1.279e-04,,,,108.6
207,train,0.015578,1.273e-04,,,,109.2
208,train,0.013430,1.267e-04,,,,109.8
209,train,0.024095,1.261e-04,,,,110.3
210,train,0.014724,1.255e-04,,,,110.8
211,train,0.014209,1.249e-04,,,,111.3
212,train,0.007149,1.243e-04,,,,111.9
213,train,0.013700,1.236e-04,,,,112.4
214,train,0.016565,1.230e-04,,,,113.0
215,train,0.004550,1.224e-04,,,,113.6
216,train,0.011518,1.218e-04,,,,114.1
217,train,0.013736,1.212e-04,,,,114.7
218,train,0.023057,1.206e-04,,,,115.2
219,train,0.020124,1.200e-04,,,,115.8
220,train,0.015008,1.194e-04,,,,116.3
221,train,0.017973,1.187e-04,,,,116.8
222,train,0.018621,1.181e-04,,,,117.3
223,train,0.012393,1.175e-04,,,,117.9
224,train,0.034972,1.169e-04,,,,118.4
225,train,0.007421,1.163e-04,,,,118.9
226,train,0.014895,1.156e-04,,,,119.5
227,train,0.037603,1.150e-04,,,,120.0
228,train,0.014734,1.144e-04,,,,120.6
229,train,0.012402,1.138e-04,,,,121.1
230,train,0.010716,1.132e-04,,,,121.6
231,train,0.016103,1.125e-04,,,,122.2
232,train,0.014888,1.119e-04,,,,122.7
233,train,0.018686,1.113e-04,,,,123.2
234,train,0.008127,1.107e-04,,,,123.8
235,train,0.013690,1.100e-04,,,,124.3
236,train,0.023887,1.094e-04,,,,124.8
237,train,0.016194,1.088e-04,,,,125.4
238,train,0.019088,1.082e-04,,,,125.9
239,train,0.015271,1.075e-04,,,,126.4
240,train,0.024764,1.069e-04,,,,127.0
241,train,0.013909,1.063e-04,,,,127.6
242,train,0.010281,1.057e-04,,,,128.1
243,train,0.010140,1.050e-04,,,,128.7
244,train,0.018733,1.044e-04,,,,129.2
245,train,0.011271,1.038e-04,,,,129.8
246,train,0.012059,1.031e-04,,,,130.4
247,train,0.015613,1.025e-04,,,,130.9
248,train,0.021071,1.019e-04,,,,131.4
249,train,0.030203,1.013e-04,,,,132.0
250,train,0.013177,1.006e-04,,,,132.5
250,val,,,30.6883,30.3199,0.9146,139.0
251,train,0.011128,1.000e-04,,,,139.6
252,train,0.013469,9.937e-05,,,,140.1
253,train,0.010832,9.874e-05,,,,140.6
254,train,0.009685,9.812e-05,,,,141.1
255,train,0.018543,9.749e-05,,,,141.6
256,train,0.010760,9.686e-05,,,,142.0
257,train,0.008857,9.623e-05,,,,142.6
258,train,0.013827,9.560e-05,,,,143.1
259,train,0.010725,9.498e-05,,,,143.7
260,train,0.024496,9.435e-05,,,,144.2
261,train,0.013322,9.372e-05,,,,144.7
262,train,0.020000,9.309e-05,,,,145.2
263,train,0.012742,9.247e-05,,,,145.7
264,train,0.013365,9.184e-05,,,,146.2
265,train,0.010021,9.121e-05,,,,146.7
266,train,0.017678,9.059e-05,,,,147.2
267,train,0.018086,8.996e-05,,,,147.7
268,train,0.014539,8.934e-05,,,,148.2
269,train,0.013974,8.871e-05,,,,148.8
270,train,0.009448,8.809e-05,,,,149.3
271,train,0.016468,8.747e-05,,,,149.9
272,train,0.013694,8.684e-05,,,,150.4
273,train,0.024738,8.622e-05,,,,151.0
274,train,0.015327,8.560e-05,,,,151.6
275,train,0.016548,8.498e-05,,,,152.2
276,train,0.024147,8.436e-05,,,,152.8
277,train,0.014564,8.374e-05,,,,153.5
278,train,0.012949,8.312e-05,,,,154.1
279,train,0.022089,8.250e-05,,,,154.6
280,train,0.013593,8.188e-05,,,,155.1
281,train,0.016748,8.126e-05,,,,155.7
282,train,0.012384,8.065e-05,,,,156.4
283,train,0.018432,8.003e-05,,,,157.1
284,train,0.016531,7.941e-05,,,,157.7
285,train,0.017436,7.880e-05,,,,158.3
286,train,0.016702,7.819e-05,,,,158.9
287,train,0.011681,7.757e-05,,,,159.5
288,train,0.022882,7.696e-05,,,,160.1
289,train,0.018059,7.635e-05,,,,160.6
290,train,0.011983,7.574e-05,,,,161.2
291,train,0.012344,7.513e-05,,,,161.7
292,train,0.015453,7.452e-05,,,,162.2
293,train,0.010775,7.392e-05,,,,162.8
294,train,0.015393,7.331e-05,,,,163.3
295,train,0.010953,7.270e-05,,,,163.9
296,train,0.012795,7.210e-05,,,,164.4
297,train,0.016066,7.150e-05,,,,165.0
298,train,0.010772,7.090e-05,,,,165.5
299,train,0.022579,7.030e-05,,,,166.0
300,train,0.016330,6.970e-05,,,,166.6
301,train,0.013768,6.910e-05,,,,167.1
302,train,0.013094,6.850e-05,,,,167.7
303,train,0.016512,6.791e-05,,,,168.2
304,train,0.012681,6.731e-05,,,,168.7
305,train,0.013236,6.672e-05,,,,169.3
306,train,0.014929,6.613e-05,,,,169.9
307,train,0.020830,6.554e-05,,,,170.4
308,train,0.017603,6.495e-05,,,,171.0
309,train,0.018635,6.436e-05,,,,171.5
310,train,0.018748,6.377e-05,,,,172.0
311,train,0.011546,6.319e-05,,,,172.5
312,train,0.011989,6.260e-05,,,,173.1
313,train,0.018282,6.202e-05,,,,173.6
314,train,0.014165,6.144e-05,,,,174.2
315,train,0.013940,6.086e-05,,,,174.7
316,train,0.010158,6.029e-05,,,,175.3
317,train,0.012833,5.971e-05,,,,175.8
318,train,0.013464,5.914e-05,,,,176.3
319,train,0.017075,5.856e-05,,,,176.8
320,train,0.010128,5.799e-05,,,,177.3
321,train,0.014837,5.742e-05,,,,177.9
322,train,0.025103,5.685e-05,,,,178.4
323,train,0.015237,5.629e-05,,,,179.0
324,train,0.028684,5.572e-05,,,,179.5
325,train,0.007279,5.516e-05,,,,180.0
326,train,0.018718,5.460e-05,,,,180.6
327,train,0.038382,5.404e-05,,,,181.1
328,train,0.011402,5.348e-05,,,,181.7
329,train,0.012316,5.293e-05,,,,182.2
330,train,0.009471,5.238e-05,,,,182.7
331,train,0.018039,5.182e-05,,,,183.3
332,train,0.010175,5.127e-05,,,,183.8
333,train,0.012000,5.073e-05,,,,184.3
334,train,0.013319,5.018e-05,,,,184.9
335,train,0.008475,4.964e-05,,,,185.4
336,train,0.015189,4.910e-05,,,,185.9
